 ,221057_071,221057_088,221057_101,221057_102,221057_103,221057_150,221057_151,221057_164,221364_080,221364_081,221364_082,221364_083,221364_087,221477_061,221479_158,221479_168,221479_187,221481_117,221481_230,221481_241,221481_256,221481_507,221481_509,221481_515,221481_522,221481_524,221481_538,221701_035,221701_052,221701_055,221701_057,221701_061,221733_181,230011_174,230011_175,230066_121,230066_125,230066_126,230066_127,230066_128,230080_262,230114_019,231570_005,231570_006,231570_008,231570_011,231570_012,231685_259,231685_281,231687_016,231687_029,233285_119,233379_033,233379_047,233379_048,233379_111,233379_112,233379_113,233379_114,233379_115,233379_116,233379_117,233379_119,233379_121,233379_122,233379_125,233379_127,233379_129,233379_131,233379_132,233379_133,233379_134,233380_037,233380_038,233668_061,233668_063,233668_064,233668_076,233668_080,233668_130,233668_170,233668_253,233795_001,233795_003,233795_009,233795_012,233795_072,233795_073,233795_074,233795_075,233795_085,233795_087,233795_088,233795_089,233795_090,233795_091,233795_092,233795_093,233795_094,233795_095,233795_097,233795_098,233795_099,233795_100,233795_101,233795_102,233795_103,233795_104,233795_106,233795_124,233795_125,221090_095,221091_154,221417_015,221417_018,221417_043,221418_129,221418_139,221477_060,221478_326,221478_349,221479_159,221479_164,221479_166,221479_169,221480_100,221481_198,231685_243,231685_255,231685_273,231685_275,231685_279,231685_285,231686_057,233379_029,233379_032,233379_036,233379_039,233379_097,233379_118,233379_130,233379_136,233379_142,233380_036,233380_093,233666_200,233666_204,233666_218,221090_092,221090_093,221090_094,221090_099,221091_125,221417_017,221418_001,221418_127,221418_135,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221481_137,221515_017,231685_244,231687_014,233666_201,233667_154,233667_297,221065_082,231687_017,231687_027,231687_028,233284_183,221225_016,221226_014,221226_015,221226_023,221365_065,221365_067,221365_069,221365_073,221426_061,231687_001,231687_012,231687_013,233666_222,233667_280,221536_032,221538_015,233281_123,233285_006,233666_207
="VISl4",="1",="2",="0",="4",="2",="6",="2",="0",="0",="0",="0",="0",="0",="1",="9",="7",="10",="0",="2",="1",="3",="4",="3",="0",="3",="14",="0",="2",="24",="1",="0",="0",="5",="0",="0",="1",="3",="5",="4",="2",="14",="0",="1",="0",="2",="0",="0",="6",="0",="1",="5",="6",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="1",="8",="0",="3",="1",="15",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="4",="5",="3",="4",="0",="10",="1",="1",="3",="1",="0",="0",="2",="0",="8",="2",="0",="0",="0",="0",="0",="0",="2",="2",="0",="0",="0",="1",="2",="0",="2",="0",="3",="1",="3",="0",="1",="22",="8",="8",="25",="1",="0",="0",="0",="0",="0",="0",="1",="3",="0",="0",="1",="1",="4",="1",="3",="0",="0",="0",="0",="0",="1",="0",="0",="2",="2",="0",="2",="0",="0",="0",="0",="1",="2",="19",="0",="0",="5",="0",="0",="8",="0",="0",="0",="0",="1",="3",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0"
="VISl5",="1",="4",="1",="5",="5",="6",="3",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="2",="1",="13",="4",="0",="0",="0",="2",="8",="0",="5",="14",="10",="0",="0",="1",="0",="0",="0",="3",="1",="10",="8",="5",="0",="12",="7",="10",="0",="0",="11",="2",="0",="10",="1",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="0",="0",="1",="3",="1",="1",="10",="6",="1",="1",="0",="2",="0",="0",="4",="5",="2",="0",="1",="0",="0",="3",="2",="1",="7",="5",="0",="0",="3",="8",="6",="1",="1",="0",="4",="0",="8",="7",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="2",="1",="0",="0",="0",="0",="1",="0",="0",="3",="2",="2",="2",="5",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="1",="2",="1",="0",="5",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="0",="0",="0",="1",="0",="2",="4",="0",="4",="0",="0",="2",="0",="4",="6",="0",="7",="4",="0",="10",="19",="9",="7",="2",="1",="0",="0",="0",="0",="2",="0",="7",="11",="0",="0",="2",="0",="0"
="VISp1",="21",="38",="8",="9",="1",="14",="32",="18",="39",="11",="9",="4",="22",="51",="31",="14",="17",="15",="2",="6",="16",="7",="67",="44",="18",="32",="14",="8",="22",="20",="14",="17",="21",="24",="32",="29",="34",="26",="21",="31",="24",="16",="10",="7",="2",="1",="5",="8",="4",="91",="43",="38",="30",="45",="27",="13",="40",="23",="24",="5",="6",="0",="11",="24",="24",="10",="13",="15",="28",="0",="15",="29",="60",="26",="6",="19",="3",="22",="35",="5",="10",="30",="2",="9",="37",="31",="18",="47",="71",="69",="20",="14",="45",="15",="8",="38",="32",="32",="20",="26",="21",="21",="54",="20",="41",="24",="23",="15",="57",="38",="13",="19",="8",="104",="47",="47",="11",="8",="4",="24",="25",="35",="75",="11",="16",="49",="58",="0",="38",="35",="53",="9",="5",="1",="82",="41",="38",="2",="18",="8",="34",="21",="0",="67",="49",="46",="35",="24",="40",="35",="20",="74",="16",="78",="44",="3",="9",="5",="10",="41",="36",="40",="16",="39",="38",="113",="33",="10",="79",="71",="5",="38",="74",="0",="0",="0",="54",="0",="8",="14",="0",="0",="0",="7",="0",="27",="40",="1",="0",="0",="10",="0",="0",="0",="0",="9"
="VISp2/3",="17",="55",="20",="25",="16",="10",="73",="32",="27",="25",="33",="25",="19",="56",="60",="86",="50",="38",="8",="20",="21",="102",="73",="113",="92",="58",="31",="15",="73",="19",="60",="33",="16",="7",="4",="15",="25",="36",="11",="14",="57",="18",="10",="6",="2",="6",="14",="56",="39",="40",="52",="39",="21",="18",="31",="25",="39",="10",="29",="2",="11",="2",="12",="6",="21",="28",="12",="39",="75",="1",="19",="56",="20",="42",="7",="17",="2",="41",="38",="15",="23",="33",="23",="18",="19",="12",="21",="7",="17",="14",="34",="54",="23",="41",="29",="51",="55",="62",="28",="31",="27",="2",="74",="32",="8",="22",="29",="21",="10",="21",="13",="2",="3",="21",="63",="40",="10",="20",="17",="57",="32",="90",="64",="68",="63",="10",="24",="0",="5",="1",="15",="0",="21",="0",="10",="5",="4",="5",="5",="3",="20",="20",="1",="6",="26",="47",="33",="6",="19",="14",="4",="18",="13",="54",="13",="1",="3",="4",="2",="0",="19",="6",="10",="38",="3",="60",="29",="1",="13",="6",="2",="48",="198",="0",="1",="1",="2",="2",="1",="0",="0",="0",="0",="0",="0",="4",="4",="2",="0",="0",="0",="1",="0",="0",="0",="3"
="VISp4",="9",="18",="10",="11",="10",="9",="19",="12",="5",="4",="4",="5",="8",="9",="19",="14",="9",="15",="5",="0",="4",="17",="49",="20",="10",="19",="10",="12",="51",="15",="21",="3",="13",="10",="8",="5",="15",="9",="17",="23",="9",="5",="1",="3",="2",="0",="8",="8",="8",="19",="15",="11",="11",="14",="8",="10",="17",="7",="11",="3",="1",="2",="2",="3",="7",="9",="5",="8",="9",="7",="9",="5",="8",="10",="0",="3",="1",="5",="5",="3",="17",="12",="1",="3",="4",="0",="2",="3",="15",="13",="11",="6",="7",="8",="9",="9",="11",="10",="4",="3",="16",="24",="10",="24",="22",="6",="12",="3",="6",="3",="2",="19",="2",="31",="7",="4",="5",="13",="1",="10",="10",="54",="12",="37",="25",="31",="29",="10",="18",="20",="38",="14",="10",="3",="46",="9",="7",="4",="11",="22",="63",="3",="4",="40",="36",="20",="22",="18",="13",="19",="10",="35",="12",="11",="13",="1",="3",="6",="8",="9",="12",="8",="22",="20",="10",="17",="21",="25",="31",="5",="6",="2",="99",="0",="14",="8",="2",="11",="6",="4",="26",="0",="0",="0",="0",="8",="6",="2",="5",="8",="2",="20",="67",="8",="11",="29"
="VISp5",="10",="15",="27",="7",="11",="1",="21",="8",="22",="21",="8",="5",="16",="13",="24",="12",="11",="69",="2",="15",="8",="29",="83",="24",="25",="26",="81",="15",="15",="7",="7",="14",="11",="9",="19",="10",="47",="20",="16",="11",="11",="3",="15",="8",="10",="2",="19",="33",="9",="27",="26",="8",="17",="7",="8",="5",="30",="13",="5",="4",="2",="0",="0",="1",="14",="13",="6",="11",="13",="0",="8",="12",="9",="29",="5",="5",="7",="14",="39",="14",="42",="24",="7",="5",="12",="2",="4",="11",="21",="16",="39",="11",="24",="9",="20",="40",="44",="14",="15",="19",="15",="18",="28",="30",="24",="23",="31",="23",="13",="12",="9",="16",="12",="11",="10",="5",="9",="33",="8",="3",="38",="11",="8",="7",="11",="25",="5",="8",="4",="5",="13",="4",="7",="0",="3",="1",="1",="2",="1",="2",="17",="1",="3",="2",="2",="12",="21",="15",="28",="35",="14",="51",="26",="11",="26",="14",="21",="26",="12",="15",="12",="10",="13",="30",="9",="48",="19",="23",="33",="15",="44",="11",="24",="109",="23",="17",="2",="38",="40",="11",="25",="10",="2",="9",="8",="21",="44",="39",="25",="29",="16",="8",="145",="7",="9",="42"
="VISp6a",="0",="0",="1",="0",="2",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="12",="0",="0",="1",="2",="2",="3",="1",="0",="14",="0",="1",="0",="0",="1",="0",="1",="0",="0",="2",="1",="0",="0",="1",="1",="0",="0",="0",="1",="0",="4",="3",="8",="1",="0",="0",="0",="0",="0",="2",="0",="0",="1",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="1",="0",="0",="1",="0",="0",="0",="1",="5",="2",="0",="0",="3",="1",="0",="0",="0",="0",="2",="0",="1",="0",="0",="2",="1",="4",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="13",="0",="3",="1",="1",="1",="2",="8",="0",="1",="2",="3",="0",="4",="2",="1",="1",="0",="0",="0",="6",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="3",="7",="0",="2",="1",="1",="3",="0",="1",="2",="1",="0",="8",="3",="0",="2",="1",="0",="5",="0",="3",="2",="36",="1",="25",="152",="29",="21",="6",="0",="6",="1",="0",="3",="3",="1",="3",="2",="12",="21",="0",="1",="7",="5",="22",="3",="3",="7"
="VISp6b",="0",="0",="0",="0",="1",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="1",="0",="0",="0",="1",="0",="2",="20",="4",="11",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="2",="0",="0",="1",="6",="0",="4",="4"
="VISpm1",="8",="16",="1",="2",="1",="0",="0",="8",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="1",="11",="6",="5",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="1",="14",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="27",="23",="16",="13",="0",="0",="0",="0",="0",="4",="2",="18",="0",="12",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="14",="0",="20",="3",="4",="0",="0",="5",="7",="0",="1",="3",="5",="0",="3",="4",="7",="4",="6",="0",="0",="0",="0",="0",="15",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm2/3",="8",="13",="3",="4",="3",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="3",="3",="36",="8",="0",="0",="0",="0",="1",="2",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="7",="22",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="1",="1",="0",="0",="3",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="20",="11",="12",="12",="0",="0",="0",="0",="0",="1",="4",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="7",="16",="0",="12",="2",="0",="0",="1",="7",="1",="0",="2",="5",="3",="0",="7",="12",="5",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
